decade_id,term_str,n,tfidf
0,2g,1,0.0016851124515783284
0,5,1,0.0016851124515783284
0,5foot,1,0.0016851124515783284
0,8th,1,0.0016851124515783284
0,9,1,0.000651890482398957
0,a,707,0.0
0,aah,4,0.002607561929595828
0,abandon,1,0.0016851124515783284
0,abc,5,0.005166109845896858
0,ablaze,2,0.002066443938358743
0,abortion,1,0.0016851124515783284
0,about,50,0.0
0,above,25,0.0
0,abracadabra,1,0.0016851124515783284
0,abused,2,0.003370224903156657
0,accept,4,0.004132887876717486
0,accustomed,1,0.0016851124515783284
0,aching,1,0.0003813314867804147
0,across,5,0.0
0,act,9,0.0
0,acting,6,0.00619933181507623
0,add,1,0.000651890482398957
0,addicted,4,0.0015253259471216588
0,adult,2,0.003370224903156657
0,advice,1,0.00017146962570651483
0,afraid,3,0.0005144088771195446
0,afrika,1,0.0016851124515783284
0,afro,1,0.0016851124515783284
0,after,23,0.0
0,afternoon,1,0.0003813314867804147
0,again,36,0.0
0,against,1,0.0003813314867804147
0,age,4,0.0
0,aging,3,0.005055337354734986
0,ago,1,0.0
0,agunnin,1,0.0016851124515783284
0,ah,22,0.0
0,aha,4,0.006740449806313314
0,ahahahah,1,0.000651890482398957
0,ahead,14,0.0
0,ahooh,1,0.0010332219691793715
0,ahora,1,0.0010332219691793715
0,aids,1,0.0010332219691793715
0,aim,5,0.005166109845896858
0,aint,54,0.0
0,air,5,0.0
0,alabama,1,0.0010332219691793715
0,alchemy,1,0.0016851124515783284
0,alderaans,1,0.0016851124515783284
0,alibis,2,0.003370224903156657
0,alive,6,0.0
0,all,261,0.0
0,alley,1,0.0010332219691793715
0,allow,1,0.0010332219691793715
0,alltime,1,0.0016851124515783284
0,almost,6,0.0
0,alone,16,0.0
0,along,15,0.0
0,aloud,11,0.011365441660973087
0,already,9,0.0015432266313586337
0,alright,12,0.0
0,also,1,0.0003813314867804147
0,although,2,0.001303780964797914
0,always,47,0.0
0,am,37,0.0
0,amazon,1,0.0016851124515783284
0,ambien,1,0.0016851124515783284
0,amend,1,0.0016851124515783284
0,american,20,0.01303780964797914
0,americana,1,0.0016851124515783284
0,amistad,2,0.003370224903156657
0,among,2,0.003370224903156657
0,amongst,1,0.0010332219691793715
0,an,51,0.0
0,and,928,0.0
0,angel,2,0.0
0,angels,2,0.00034293925141302967
0,anger,1,0.000651890482398957
0,angry,2,0.001303780964797914
0,animal,9,0.005867014341590613
0,animator,1,0.0016851124515783284
0,animosity,1,0.0016851124515783284
0,another,48,0.0
0,answer,8,0.0013717570056521187
0,answers,1,0.0003813314867804147
0,any,12,0.0
0,anymore,13,0.0
0,anyone,6,0.0010288177542390892
0,anything,26,0.0
0,anywhere,2,0.00034293925141302967
0,apart,6,0.0010288177542390892
0,apartment,1,0.0010332219691793715
0,apologize,19,0.01963121741440806
0,appeal,1,0.0010332219691793715
0,appears,2,0.002066443938358743
0,appetite,1,0.0010332219691793715
0,apple,2,0.002066443938358743
0,aquí,2,0.003370224903156657
0,are,144,0.0
0,aringin,3,0.005055337354734986
0,arm,4,0.0006858785028260593
0,arms,12,0.0
0,army,1,0.0016851124515783284
0,around,41,0.0
0,arrest,1,0.0010332219691793715
0,arrived,1,0.000651890482398957
0,arroof,1,0.0016851124515783284
0,arroyo,1,0.0016851124515783284
0,as,67,0.0
0,ascend,1,0.0016851124515783284
0,ashake,35,0.0589789358052415
0,ask,9,0.0
0,asked,4,0.0015253259471216588
0,askin,1,0.000651890482398957
0,asking,8,0.0030506518942433176
0,asleep,12,0.0
0,ass,2,0.0
0,at,134,0.0
0,atm,1,0.0016851124515783284
0,attached,1,0.0016851124515783284
0,attack,1,0.000651890482398957
0,attain,1,0.0016851124515783284
0,attention,3,0.001955671447196871
0,attitude,2,0.001303780964797914
0,attract,1,0.0016851124515783284
0,attracted,1,0.0016851124515783284
0,attracting,1,0.0010332219691793715
0,avert,1,0.0016851124515783284
0,aw,1,0.000651890482398957
0,awake,11,0.0018861658827716633
0,aware,1,0.0010332219691793715
0,away,71,0.0
0,awe,2,0.003370224903156657
0,aye,39,0.06571938561155483
0,ayy,3,0.0005144088771195446
0,babe,1,0.0
0,baby,102,0.0
0,babys,1,0.000651890482398957
0,back,92,0.0
0,background,1,0.000651890482398957
0,backpacked,1,0.0016851124515783284
0,backwards,1,0.0016851124515783284
0,bacteria,1,0.0016851124515783284
0,bad,21,0.0
0,baddest,2,0.001303780964797914
0,badlands,1,0.0016851124515783284
0,badly,1,0.000651890482398957
0,bag,8,0.0030506518942433176
0,baggy,1,0.0016851124515783284
0,ball,4,0.0
0,baller,1,0.0010332219691793715
0,balling,1,0.0016851124515783284
0,bambaataa,1,0.0016851124515783284
0,ban,1,0.0010332219691793715
0,bandana,1,0.0016851124515783284
0,bank,1,0.000651890482398957
0,bar,1,0.0
0,bargained,2,0.003370224903156657
0,bark,1,0.000651890482398957
0,barrel,1,0.0010332219691793715
0,basement,1,0.000651890482398957
0,basics,1,0.0016851124515783284
0,bass,4,0.0015253259471216588
0,bath,1,0.0010332219691793715
0,bathed,1,0.0016851124515783284
0,bay,2,0.0007626629735608294
0,be,358,0.0
0,beach,8,0.0
0,beat,24,0.004115271016956357
0,beating,3,0.0005144088771195446
0,beautiful,20,0.0034293925141302972
0,beauty,1,0.00017146962570651483
0,bebop,1,0.0016851124515783284
0,became,1,0.0010332219691793715
0,because,18,0.0
0,become,23,0.003943801391249842
0,becoming,3,0.005055337354734986
0,bed,9,0.0
0,bedouin,1,0.0016851124515783284
0,bedpost,4,0.006740449806313314
0,beds,1,0.0010332219691793715
0,bedstuy,1,0.0016851124515783284
0,beeep,1,0.0010332219691793715
0,been,59,0.0
0,beep,40,0.041328878767174865
0,before,35,0.0
0,beg,3,0.0005144088771195446
0,began,1,0.0003813314867804147
0,begging,21,0.008007961222388709
0,begin,3,0.0011439944603412442
0,beginning,1,0.000651890482398957
0,begins,6,0.00619933181507623
0,begun,2,0.001303780964797914
0,behave,1,0.0010332219691793715
0,behavior,1,0.0010332219691793715
0,behind,11,0.0
0,behold,1,0.0016851124515783284
0,being,6,0.0
0,believe,17,0.0
0,believer,1,0.0010332219691793715
0,believes,1,0.0010332219691793715
0,bell,1,0.000651890482398957
0,bells,3,0.001955671447196871
0,belly,1,0.0010332219691793715
0,belong,1,0.0003813314867804147
0,belonged,1,0.0003813314867804147
0,below,2,0.001303780964797914
0,belts,1,0.0010332219691793715
0,bend,4,0.002607561929595828
0,bendin,1,0.0016851124515783284
0,beneath,11,0.004194646354584562
0,beside,10,0.0017146962570651486
0,bespoke,1,0.0016851124515783284
0,best,50,0.0
0,bet,7,0.0
0,better,83,0.0
0,between,5,0.0008573481285325743
0,beyoncés,1,0.0016851124515783284
0,big,20,0.0
0,bigger,2,0.0
0,biggest,1,0.000651890482398957
0,biggie,1,0.0016851124515783284
0,billboard,1,0.0016851124515783284
0,billion,2,0.001303780964797914
0,bills,1,0.0
0,billsi,1,0.0016851124515783284
0,bird,13,0.00847457627118644
0,birds,2,0.0007626629735608294
0,birth,2,0.001303780964797914
0,birthday,1,0.000651890482398957
0,bit,13,0.0
0,bitch,34,0.005829967274021505
0,bitchs,2,0.003370224903156657
0,bite,6,0.0010288177542390892
0,biting,1,0.0016851124515783284
0,bitter,1,0.0016851124515783284
0,bizarre,1,0.000651890482398957
0,bk,1,0.0016851124515783284
0,black,19,0.0
0,blade,1,0.0010332219691793715
0,blame,2,0.0
0,blank,5,0.008425562257891643
0,blankets,2,0.003370224903156657
0,bleed,5,0.0019066574339020737
0,bleedin,3,0.0011439944603412442
0,bleeding,1,0.000651890482398957
0,bless,1,0.0010332219691793715
0,blew,2,0.00034293925141302967
0,blind,2,0.0
0,blinders,1,0.0016851124515783284
0,blinding,1,0.0010332219691793715
0,blinger,1,0.0016851124515783284
0,blinkin,1,0.0016851124515783284
0,block,1,0.000651890482398957
0,bloke,1,0.0016851124515783284
0,blood,2,0.0
0,bloods,3,0.005055337354734986
0,bloom,2,0.002066443938358743
0,blow,5,0.0008573481285325743
0,blowin,1,0.000651890482398957
0,blown,4,0.0015253259471216588
0,blud,1,0.0016851124515783284
0,blue,14,0.0
0,blueberry,1,0.0016851124515783284
0,blues,1,0.00017146962570651483
0,boat,1,0.000651890482398957
0,bob,1,0.000651890482398957
0,body,14,0.0
0,bodys,2,0.0007626629735608294
0,boeing,1,0.0016851124515783284
0,boiling,1,0.0016851124515783284
0,boldness,1,0.0016851124515783284
0,bombs,1,0.0010332219691793715
0,bonbonbonbonbonbonbonbon,1,0.0016851124515783284
0,bones,8,0.0013717570056521187
0,bonifacio,1,0.0016851124515783284
0,bonkers,8,0.013480899612626628
0,boobooooh,24,0.04044269883787989
