decade_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,concealed,3,0.0050553373547349,VBN,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
0,confess,3,0.0019556714471968,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,confession,2,0.0020664439383587,NN,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0
0,confidence,1,0.0010332219691793,NN,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,confined,1,0.0016851124515783,VBD,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,confusion,1,0.0010332219691793,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,conscience,1,0.0006518904823989,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,conspire,1,0.0016851124515783,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,convince,1,0.0006518904823989,VB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,cop,1,0.0010332219691793,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,corruption,1,0.0016851124515783,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,count,6,0.001028817754239,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,cracked,1,0.0006518904823989,VBD,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,crash,3,0.0019556714471968,NNP,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0
0,crazy,46,0.0,JJ,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,credit,1,0.0006518904823989,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,cross,1,0.0,VB,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,crushing,1,0.0016851124515783,VBG,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,cry,32,0.0,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,crying,1,0.0,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,cursed,1,0.0016851124515783,VBN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,damn,7,0.0,NN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,dance,80,0.0,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,dare,3,0.0011439944603412,VBP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,darkness,10,0.0017146962570651,NN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,darling,1,0.0,NNP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,daughter,11,0.0041946463545845,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,dawn,10,0.0038133148678041,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,death,4,0.0015253259471216,NN,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0
0,deceive,1,0.0010332219691793,VB,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
