Decade,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
70s,0.27102803738317754,0.26791277258566976,0.19937694704049844,0.32087227414330216,0.3364485981308411,0.32398753894080995,0.1838006230529595,0.32710280373831774,-0.08411214953271028
80s,0.30484330484330485,0.2962962962962963,0.20512820512820512,0.36752136752136755,0.3646723646723647,0.31339031339031337,0.1737891737891738,0.34472934472934474,-0.05413105413105413
90s,0.2826086956521739,0.2753623188405797,0.2246376811594203,0.34782608695652173,0.30917874396135264,0.3188405797101449,0.18115942028985507,0.2922705314009662,-0.13043478260869565
2000s,0.2871046228710462,0.30170316301703165,0.19464720194647203,0.36253041362530414,0.340632603406326,0.3260340632603406,0.17761557177615572,0.35523114355231145,-0.0827250608272506
2010s,0.27899686520376177,0.2884012539184953,0.1724137931034483,0.34169278996865204,0.31974921630094044,0.31347962382445144,0.16614420062695925,0.31974921630094044,-0.11912225705329153
2020s,0.2912621359223301,0.28640776699029125,0.20388349514563106,0.2936893203883495,0.33737864077669905,0.2936893203883495,0.16747572815533981,0.3155339805825243,-0.09466019417475728
